ID,Flux_Type,Palm,Height,Height_Groups,FluxPangalaComp,Flux10xPangala,Flux100Pangala,Tree_Height,T1,X,Y,Family,Species,T_oC,P_kPa,DBH,X1_DBH_m_,Flux_CH4,SE,Flux_CO2,SE_CO2,Volume,Area,Flux_CH4_mg,SE_CH4_Flux,Column,Flux_CO2_mg,SE_CO2_Flux,Column_3,ln_CH4_1000_,Column_2
9001,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4,7,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002,NA,NA,NA,NA,NA,NA,NA,NA,1,3,11,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9003,NA,NA,NA,NA,NA,NA,NA,NA,1,5,8,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9004,NA,NA,NA,NA,NA,NA,NA,NA,1,6.5,9,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9005,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8.7,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9006,NA,NA,NA,NA,NA,NA,NA,NA,1,7,9,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9007,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,9,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9008,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,8.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9009,NA,NA,NA,NA,NA,NA,NA,NA,1,7.6,8.2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,NA,NA,NA,NA,NA,NA,NA,NA,1,7.6,8.7,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,6,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9012,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2.5,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9013,NA,NA,NA,NA,NA,NA,NA,NA,1,11,1.3,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9014,NA,NA,NA,NA,NA,NA,NA,NA,1,11,1,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9015,NA,NA,NA,NA,NA,NA,NA,NA,1,14,0.5,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9016,NA,NA,NA,NA,NA,NA,NA,NA,1,17.5,0.1,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9017,NA,NA,NA,NA,NA,NA,NA,NA,1,19.7,1.7,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9018,NA,NA,NA,NA,NA,NA,NA,NA,1,19,4,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9023,NA,NA,NA,NA,NA,NA,NA,NA,1,13,12.5,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9024,NA,NA,NA,NA,NA,NA,NA,NA,1,13,11.5,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9025,NA,NA,NA,NA,NA,NA,NA,NA,1,13,15,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9027,NA,NA,NA,NA,NA,NA,NA,NA,1,15,17,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9028,NA,NA,NA,NA,NA,NA,NA,NA,1,14,19.2,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9029,NA,NA,NA,NA,NA,NA,NA,NA,1,13,18,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9030,NA,NA,NA,NA,NA,NA,NA,NA,1,12.7,18.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9031,NA,NA,NA,NA,NA,NA,NA,NA,1,12.7,17,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9032,NA,NA,NA,NA,NA,NA,NA,NA,1,11.5,12.7,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9033,NA,NA,NA,NA,NA,NA,NA,NA,1,10,17,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9034,NA,NA,NA,NA,NA,NA,NA,NA,1,9.8,16.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9035,NA,NA,NA,NA,NA,NA,NA,NA,1,10,12,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9036,NA,NA,NA,NA,NA,NA,NA,NA,1,9.5,11.9,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9037,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,15,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9038,NA,NA,NA,NA,NA,NA,NA,NA,1,6,14,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9039,NA,NA,NA,NA,NA,NA,NA,NA,1,6,14,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9040,NA,NA,NA,NA,NA,NA,NA,NA,1,4,14,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9041,NA,NA,NA,NA,NA,NA,NA,NA,1,7,16,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9042,NA,NA,NA,NA,NA,NA,NA,NA,1,2,17.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9043,NA,NA,NA,NA,NA,NA,NA,NA,1,7,18,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9044,NA,NA,NA,NA,NA,NA,NA,NA,2,7,2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9045,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3.5,Moraceae,Ficus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9048,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9050,NA,NA,NA,NA,NA,NA,NA,NA,2,12,8,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9051,NA,NA,NA,NA,NA,NA,NA,NA,2,11,5,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9052,NA,NA,NA,NA,NA,NA,NA,NA,2,11.5,4.8,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9053,NA,NA,NA,NA,NA,NA,NA,NA,2,16,3.5,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9054,NA,NA,NA,NA,NA,NA,NA,NA,2,17,7,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9055,NA,NA,NA,NA,NA,NA,NA,NA,2,17.5,4,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9056,NA,NA,NA,NA,NA,NA,NA,NA,2,19.7,4.5,Moraceae,Ficus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9057,NA,NA,NA,NA,NA,NA,NA,NA,2,19.9,4,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9058,NA,NA,NA,NA,NA,NA,NA,NA,2,20,4.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9059,NA,NA,NA,NA,NA,NA,NA,NA,2,18.7,5.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9060,NA,NA,NA,NA,NA,NA,NA,NA,2,17,14,Apocinaceae,Paranarcornea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9061,NA,NA,NA,NA,NA,NA,NA,NA,2,17.5,19,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9062,NA,NA,NA,NA,NA,NA,NA,NA,2,17.3,19.2,Clusiaceae,Sinfonea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9063,NA,NA,NA,NA,NA,NA,NA,NA,2,12,14,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9064,NA,NA,NA,NA,NA,NA,NA,NA,2,8,17,Myristicaceae,Virola pavonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9066,NA,NA,NA,NA,NA,NA,NA,NA,3,3.15,8,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9067,NA,NA,NA,NA,NA,NA,NA,NA,3,2.95,9,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9068,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,6.89,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9069,NA,NA,NA,NA,NA,NA,NA,NA,3,4.35,7.4,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9071,NA,NA,NA,NA,NA,NA,NA,NA,3,4.25,3.4,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9072,NA,NA,NA,NA,NA,NA,NA,NA,3,4.65,3.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9073,NA,NA,NA,NA,NA,NA,NA,NA,3,4.75,3.45,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9074,NA,NA,NA,NA,NA,NA,NA,NA,3,5.1,3,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9075,NA,NA,NA,NA,NA,NA,NA,NA,3,6.5,3.2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
